plot_summary,genre
"A group of friends set out on an adventure to find a hidden treasure in a mysterious island.",Adventure
"In a dystopian future, a young hero leads a rebellion against an oppressive regime.",Sci-Fi
"A romantic comedy about two people who meet by chance and fall in love.",Romance
"After a devastating war, the last remaining humans struggle to survive against alien invaders.",Action
"A detective investigates a series of murders and uncovers a dark conspiracy.",Mystery
"An animated film about talking animals who go on a quest to save their home from destruction.",Animation
"During World War II, a group of soldiers must complete a dangerous mission behind enemy lines.",War
"A family-friendly movie about a magical journey to a fantastical land.",Fantasy
"A gripping thriller about a cat-and-mouse game between a brilliant criminal and a dedicated detective.",Thriller
"A heartwarming drama about a young boy and his bond with a lovable alien from outer space.",Family
...
